id,key,status,superseded_by,country,code,series,designation,alt_designation,h,b,tw,tf,r1,r2,flange_slope,mass,availability
0x5D643DFC41,EN10055:T 100,active,,Europe,EN 10055,T,T 100,,100,100,11.0,11.0,11,5.5,2,16.4,current
0xDFC59BE9A3,EN10055:T 30,active,,Europe,EN 10055,T,T 30,,30,30,4.0,4.0,4,2,2,1.77,current
0x83344E6053,EN10055:T 40,active,,Europe,EN 10055,T,T 40,,40,40,5.0,5.0,5,2.5,2,2.96,current
0x78370FAE63,EN10055:T 50,active,,Europe,EN 10055,T,T 50,,50,50,6.0,6.0,6,3,2,4.44,current
0x4544B6C61A,EN10055:T 80,active,,Europe,EN 10055,T,T 80,,80,80,9.0,9.0,9,4.5,2,10.7,current
0xA56BD5939C,IS1173:ISNT 100,active,,India,IS 808 / IS 1173,ISNT,ISNT 100,,100,100,10.0,10.0,10,5,2,15.0,current
0x1265E5770C,IS1173:ISNT 50,active,,India,IS 808 / IS 1173,ISNT,ISNT 50,,50,50,6.0,6.0,6,3,2,4.5,current
0x8A6547B381,IS1173:ISST 250,active,,India,IS 808 / IS 1173,ISST,ISST 250,,250,125,8.0,12.0,12,6,2,28.0,current
