id,key,status,superseded_by,country,code,series,designation,alt_designation,h,b,t,r_out,r_in,mass,availability
0x676FC86AF5,EN10210:RHS 100x50x4,active,,Europe,EN 10210,RHS,RHS 100x50x4,,100,50,4,6,4,8.78,current
0x779C89C568,EN10210:RHS 200x100x8,active,,Europe,EN 10210,RHS,RHS 200x100x8,,200,100,8,12,8,35.1,current
0x670142EEEC,EN10210:RHS 300x200x10,active,,Europe,EN 10210,RHS,RHS 300x200x10,,300,200,10,15,10,74.5,current
0x897FEEE9DC,EN10210:SHS 100x100x5,active,,Europe,EN 10210,SHS,SHS 100x100x5,,100,100,5,7.5,5,14.8,current
0x59790B194F,EN10210:SHS 150x150x8,active,,Europe,EN 10210,SHS,SHS 150x150x8,,150,150,8,12,8,35.1,current
0x212A63D7EC,EN10210:SHS 40x40x3,active,,Europe,EN 10210,SHS,SHS 40x40x3,,40,40,3,4.5,3,3.41,current
0x616FA0C27C,IS4923:RHS 150x100x5,active,,India,IS 4923 (HF),RHS,RHS 150x100x5,,150,100,5,7.5,5,18.7,current
0xC08B3BD2FC,IS4923:SHS 100x100x4,active,,India,IS 4923 (HF),SHS,SHS 100x100x4,,100,100,4,6,4,11.9,current
