WordID,ShortWordName,English,Comments
4004139340,CODE_CIVIL_IS456_LSD,Code Civil Is456 Lsd,Code Civil Is456 Lsd
3404812258,CODE_CIVIL_IS456_WSD,Code Civil Is456 Wsd,Code Civil Is456 Wsd
3217166961,CODE_CIVIL_IS13920,Code Civil Is13920,Code Civil Is13920
2808181540,CODE_CIVIL_IS3370,Code Civil Is3370,Code Civil Is3370
3698545932,CODE_CIVIL_ACI318,Code Civil Aci318,Code Civil Aci318
2731961674,CODE_CIVIL_EUROCODE2,Code Civil Eurocode2,Code Civil Eurocode2
2852589774,CODE_CIVIL_GB50010,Code Civil Gb50010,Code Civil Gb50010
2446377915,CODE_CIVIL_IS800_LSD,Code Civil Is800 Lsd,Code Civil Is800 Lsd
3482125762,CODE_CIVIL_IS800_WSD,Code Civil Is800 Wsd,Code Civil Is800 Wsd
3465140658,CODE_CIVIL_AISC360,Code Civil Aisc360,Code Civil Aisc360
3753813637,CODE_CIVIL_EUROCODE3,Code Civil Eurocode3,Code Civil Eurocode3
3601170139,CODE_CIVIL_GB50017,Code Civil Gb50017,Code Civil Gb50017
3811570028,CODE_MECH_ASME_VIII,Code Mech Asme Viii,Code Mech Asme Viii
3811158475,CREATE_PAGE,Create Page,Create Page
4290228579,GENERAL_DRAWING,General Drawing,General Drawing
2901120378,GENERAL_SHEET,General Sheet,General Sheet
2635018789,GENERAL_3D2DGA,General 3d2dga,General 3d2dga
2494567870,GENERAL_ASSEMBLY,General Assembly,General Assembly
3736434677,GENERAL_ISOMETRIC,General Isometric,General Isometric
2938400871,GENERAL_TABLES,General Tables,General Tables
2281954899,SEQUENCE_PLAY,Sequence Play,Sequence Play
2470232457,STATUS_VISUALIZE,Status Visualize,Status Visualize
2731596223,CREATE_BOM,Create Bom,Create Bom
2229446048,REFRESH_BOM,Refresh Bom,Refresh Bom
3234551993,CREATE_REPORTS,Create Reports,Create Reports
4270694089,BOM_RATES,Bom Rates,Bom Rates
2209549389,IMPORT_STD,Import Std,Import Std
2388485190,IMPORT_CII,Import Cii,Import Cii
3620992973,IMPORT_DXF,Import Dxf,Import Dxf
3018706313,IMPORT_DWG,Import Dwg,Import Dwg
2358406449,EXPORT_STD,Export Std,Export Std
2858667348,EXPORT_DWG,Export Dwg,Export Dwg
4099564531,SCRIPT_PANNEL,Script Pannel,Script Pannel
4294967295,INVALID,Invalid,Invalid
